Class;Date;Opening Price;Closing Price;Maximum;Minimum;Var. %;Return;MOMENTUM5;EMA12;EMA26;MACD 12-26;EMA9 of MACD12-26;MACD 12-26-9;ROI10;ROI20;ROI30;RSI 10;RSI 14;RSI 30;STOCHRSI10;STOCHRSI14;STOCHRSI30;ADX;Williams%R;CCI;ATR;UO;;;;;;;
0;20100420;1195.75;1205.5;1205.75;1194;0.0084;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;
0;20100421;1205;1200.5;1209.5;1195;-0.0041;-0.004147657;N;1204.730769;1205.12963;-0.398860399;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;
1;20100422;1198.5;1201.75;1207;1186.25;0.0010;0.001041233;N;1204.272189;1204.879287;-0.607097345;-0.440507788;-0.166589557;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;
0;20100423;1201.25;1212.25;1213.75;1197.5;0.0087;0.008737258;N;1205.499545;1205.425265;0.074279376;-0.337550355;0.411829732;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;
0;20100426;1211.25;1208.25;1216.75;1207.5;-0.0033;-0.003299649;N;1205.922692;1205.634505;0.288186729;-0.212402938;0.500589668;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;
1;20100427;1207.75;1181;1210;1177.5;-0.0226;-0.02255328;-24.5;1202.088432;1203.809727;-1.721295393;-0.514181429;-1.207113964;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;
1;20100428;1181.5;1190;1192;1176.75;0.0076;0.00762066;-10.5;1200.228673;1202.786784;-2.558111353;-0.922967414;-1.635143939;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;
0;20100429;1190;1205.25;1206.25;1188;0.0128;0.012815126;3.5;1201.001185;1202.969245;-1.96805991;-1.131985913;-0.836073997;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;
1;20100430;1205.5;1183.5;1208;1182.75;-0.0180;-0.018046049;-28.75;1198.308695;1201.527078;-3.218383596;-1.54926545;-1.669118146;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;
0;20100503;1184.5;1198.5;1202;1183.75;0.0127;0.012674271;-9.75;1198.338126;1201.30285;-2.964723992;-1.832357158;-1.132366834;-4.78198E-07;N;N;50.18567639;N;N;0;N;N;N;N;N;N;N;;;;;;;
0;20100504;1198.25;1172.5;1199.75;1164.25;-0.0217;-0.021693784;-8.5;1194.36303;1199.169306;-4.806275881;-2.427140903;-2.379134978;-2.29014E-06;N;N;50.25933827;N;N;1;N;N;N;N;N;N;N;;;;;;;
